"id_curso";"nome";"id_coordenador";"coordenador";"situacao_curso";"nivel_ensino";"grau_academico";"modalidade_educacao";"area_conhecimento";"tipo_oferta";"turno";"tipo_ciclo_formacao";"municipio";"campus";"id_unidade_responsavel";"unidade_responsavel";"website";"data_funcionamento";"codigo_inep";"dou";"portaria_reconhecimento";"convenio_academico"
"170436900";"ESPECIALIZAÇÃO EM ENGENHARIA DE SEGURANÇA DO TRABALHO";"5757891";"RICARDO PIRES DE SOUZA";"";"LATO SENSU";"";"Presencial";"";"";"";"";"";"";"115";"DEPARTAMENTO DE ENGENHARIA PRODUÇÃO";"";"";"";"";"";""
"117439917";"ESPECIALIZAÇÃO EM ENGENHARIA DE SEGURANÇA DO TRABALHO";"";"";"";"LATO SENSU";"";"Presencial";"";"";"";"";"";"";"115";"DEPARTAMENTO DE ENGENHARIA PRODUÇÃO";"";"";"";"";"";""
"129021225";"ESPECIALIZAÇÃO EM ENGENHARIA DE SEGURANÇA DO TRABALHO";"";"";"";"LATO SENSU";"";"Presencial";"";"";"";"";"";"";"115";"DEPARTAMENTO DE ENGENHARIA PRODUÇÃO";"";"";"";"";"";""
"1087370";"ESPECIALIZAÇÃO EM ENGENHARIA E SEGURANÇA DO TRABALHO";"";"";"ATIVO";"LATO SENSU";"";"Presencial";"";"";"";"";"NATAL";"";"52";"DEPARTAMENTO DE ENGENHARIA CIVIL E AMBIENTAL";"";"";"";"";"";""
"91506283";"ESPECIALIZAÇÃO EM ENSINO-APRENDIZAGEM DE INGLÊS COMO LÍNGUA ESTRANGEIRA";"";"";"ATIVO";"LATO SENSU";"";"Presencial";"";"";"";"";"";"";"5206";"DEPARTAMENTO DE LINGUAS E LITERATURAS ESTRANGEIRAS MODERNAS";"";"";"";"";"";""
"93999856";"ESPECIALIZAÇÃO EM ENSINO-APRENDIZAGEM DE INGLÊS COMO LÍNGUA ESTRANGEIRA";"";"";"ATIVO";"LATO SENSU";"";"Presencial";"";"";"";"";"";"";"5206";"DEPARTAMENTO DE LINGUAS E LITERATURAS ESTRANGEIRAS MODERNAS";"";"";"";"";"";""
"117709917";"ESPECIALIZAÇÃO EM ENSINO-APRENDIZAGEM DE INGLÊS COMO LÍNGUA ESTRANGEIRA";"";"";"ATIVO";"LATO SENSU";"";"Presencial";"";"";"";"";"";"";"5206";"DEPARTAMENTO DE LINGUAS E LITERATURAS ESTRANGEIRAS MODERNAS";"";"";"";"";"";""
"101197753";"ESPECIALIZAÇÃO EM ENSINO-APRENDIZAGEM DE LÍNGUA PORTUGUESA";"";"";"ATIVO";"LATO SENSU";"";"Presencial";"";"";"";"";"";"";"5968";"DEPARTAMENTO DE PRÁTICAS EDUCACIONAIS E CURRÍCULO";"";"";"";"";"";""
"96030942";"ESPECIALIZAÇÃO EM ENSINO DE ARTES NA EDUCAÇÃO BÁSICA: MÚSICA";"";"";"ATIVO";"LATO SENSU";"";"Semi-Presencial";"";"";"";"";"";"";"284";"ESCOLA DE MÚSICA";"";"";"";"";"";""
"166552734";"ESPECIALIZAÇÃO EM ENSINO DE CIÊNCIAS - ANOS FINAIS DO ENSINO FUNDAMENTAL";"";"";"";"LATO SENSU";"";"A Distância";"";"";"";"";"";"";"134";"PROGRAMA DE PÓS-GRADUAÇÃO EM ENSINO DE CIÊNCIAS NATURAIS E MATEMÁTICA";"";"";"";"";"";""
